chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U21,1,I work together with Alice.,私はアリスと一緒に働いている。,/aɪ wərk təˈgɛðər wɪθ ˈælɪs./,/images/eijukugo_zukan/U21/Q01.png,/audio/eijukugo_zukan/U21/S01.mp3,together,together,I work [BLANK] with Alice.
U21,2,Let's sing a song together.,みんなで一緒に歌を歌いましょう。,/lɛts sɪŋ ə sɔŋ təˈgɛðər./,/images/eijukugo_zukan/U21/Q02.png,/audio/eijukugo_zukan/U21/S02.mp3,together,together,Let's sing a song [BLANK].
U21,3,I live apart from my parents.,私は両親とは別々に暮らしている。,/aɪ lɪv əˈpɑrt frəm maɪ ˈpɛrənts./,/images/eijukugo_zukan/U21/Q03.png,/audio/eijukugo_zukan/U21/S03.mp3,apart,apart,I live [BLANK] from my parents.
U21,4,My brother and I are five years apart.,兄と私は5歳離れている。,/maɪ ˈbrəðər ənd aɪ ər faɪv jɪrz əˈpɑrt./,/images/eijukugo_zukan/U21/Q04.png,/audio/eijukugo_zukan/U21/S04.mp3,apart,apart,My brother and I are five years [BLANK].
U21,5,Let's get together tonight.,今夜集まろう。,/lɛts gɪt təˈgɛðər təˈnaɪt./,/images/eijukugo_zukan/U21/Q05.png,/audio/eijukugo_zukan/U21/S05.mp3,together,together,Let's get [BLANK] tonight.
U21,6,The country is going to fall apart.,その国は崩壊するだろう。,/ðə ˈkəntri ɪz goʊɪŋ tɪ fɔl əˈpɑrt./,/images/eijukugo_zukan/U21/Q06.png,/audio/eijukugo_zukan/U21/S06.mp3,apart,apart,The country is going to fall [BLANK].
U21,7,We lived together before we got married.,私たちは結婚する前から同棲していた。,/wi lɪvd təˈgɛðər ˌbiˈfɔr wi gɑt ˈmɛrid./,/images/eijukugo_zukan/U21/Q07.png,/audio/eijukugo_zukan/U21/S07.mp3,together,together,We lived [BLANK] before we got married.
U21,8,He can take the radio apart.,彼はそのラジオを分解できる。,/hi kən teɪk ðə ˈreɪdiˌoʊ əˈpɑrt./,/images/eijukugo_zukan/U21/Q08.png,/audio/eijukugo_zukan/U21/S08.mp3,apart,apart,He can take the radio [BLANK].
U21,9,This tie and this suit go together.,このネクタイとこのスーツは合っている。,/ðɪs taɪ ənd ðɪs sut goʊ təˈgɛðər./,/images/eijukugo_zukan/U21/Q09.png,/audio/eijukugo_zukan/U21/S09.mp3,together,together,This tie and this suit go [BLANK].
U21,10,He took apart his opponent.,彼は敵に楽勝した。,/hi tʊk əˈpɑrt hɪz əˈpoʊnənt./,/images/eijukugo_zukan/U21/Q10.png,/audio/eijukugo_zukan/U21/S10.mp3,apart,apart,He took [BLANK] his opponent.
U21,11,Those two countries came together on this issue.,両国はこの問題に関して1つにまとまった。,/ðoʊz tu ˈkəntriz keɪm təˈgɛðər ɔn ðɪs ˈɪʃu./,/images/eijukugo_zukan/U21/Q11.png,/audio/eijukugo_zukan/U21/S11.mp3,together,together,Those two countries came [BLANK] on this issue.
U21,12,Can you tell those twin sisters apart?,あの双子の姉妹を見分けられますか。,/kən ju tɛl ðoʊz twɪn ˈsɪstərz əˈpɑrt?/,/images/eijukugo_zukan/U21/Q12.png,/audio/eijukugo_zukan/U21/S12.mp3,apart,apart,Can you tell those twin sisters [BLANK]?
