chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U07,1,The train arrived in Asakusa.,電車は浅草に着いた。,,/images/eijukugo_zukan/U07/Q01.png,/audio/eijukugo_zukan/U07/S01.mp3,in,in,The train arrived [BLANK] Asakusa.
U07,2,Asakusa lies in the east of Tokyo.,浅草は東京の東部にある。,,/images/eijukugo_zukan/U07/Q02.png,/audio/eijukugo_zukan/U07/S02.mp3,in,in,Asakusa lies [BLANK] the east of Tokyo.
U07,3,I'm in the construction business.,私は建設業をしています。,,/images/eijukugo_zukan/U07/Q03.png,/audio/eijukugo_zukan/U07/S03.mp3,in,in,I'm [BLANK] the construction business.
U07,4,My boss will be in at noon.,上司は正午に出社します。,,/images/eijukugo_zukan/U07/Q04.png,/audio/eijukugo_zukan/U07/S04.mp3,in,in,My boss will be [BLANK] at noon.
U07,5,He took part in the speech contest.,彼はスピーチコンテストに参加した。,,/images/eijukugo_zukan/U07/Q05.png,/audio/eijukugo_zukan/U07/S05.mp3,in,in,He took part [BLANK] the speech contest.
U07,6,I'd like to check in this baggage.,この荷物を預けたいのですが。,,/images/eijukugo_zukan/U07/Q06.png,/audio/eijukugo_zukan/U07/S06.mp3,in,in,I'd like to check [BLANK] this baggage.
U07,7,He was involved in an accident.,彼は事故に巻き込まれた。,,/images/eijukugo_zukan/U07/Q07.png,/audio/eijukugo_zukan/U07/S07.mp3,in,in,He was involved [BLANK] an accident.
U07,8,Help me in.,中に入るのを手伝って。,,/images/eijukugo_zukan/U07/Q08.png,/audio/eijukugo_zukan/U07/S08.mp3,in,in,Help me [BLANK].
U07,9,Fill in your name and address here.,ここに名前と住所を記入してください。,,/images/eijukugo_zukan/U07/Q09.png,/audio/eijukugo_zukan/U07/S09.mp3,in,in,Fill [BLANK] your name and address here.
U07,10,I usually stay in on Saturday nights.,私は土曜の夜はたいてい家にいる。,,/images/eijukugo_zukan/U07/Q10.png,/audio/eijukugo_zukan/U07/S10.mp3,in,in,I usually stay [BLANK] on Saturday nights.
U07,11,She is dressed in white today.,彼女は今日は白い服を着ている。,,/images/eijukugo_zukan/U07/Q11.png,/audio/eijukugo_zukan/U07/S11.mp3,in,in,She is dressed [BLANK] white today.
U07,12,Do you believe in God?,あなたは神を信じますか。,,/images/eijukugo_zukan/U07/Q12.png,/audio/eijukugo_zukan/U07/S12.mp3,in,in,Do you believe [BLANK] God?
