chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U15,1,The orchestra was conducted by Ozawa Seiji.,そのオーケストラは小澤征爾によって指揮された。,/ðə ˈɔrkəstrə wɑz kənˈdəktəd baɪ oʊˈzɑwə ˈseɪʤi./,/images/eijukugo_zukan/U15/Q01.png,/audio/eijukugo_zukan/U15/S01.mp3,by,by,The orchestra was conducted [BLANK] Ozawa Seiji.
U15,2,How do you go to work? I go to work by train.,「通勤方法は何ですか」「電車で通勤します」,/haʊ du ju goʊ tɪ wərk? aɪ goʊ tɪ wərk baɪ treɪn./,/images/eijukugo_zukan/U15/Q02.png,/audio/eijukugo_zukan/U15/S02.mp3,by,by,How do you go to work? I go to work [BLANK] train.
U15,3,"I seldom watch TV, aside from news.",ニュースは別として、テレビをめったに見ません。,"/aɪ ˈsɛldəm wɔʧ ˌtɛləˈvɪʒən, əˈsaɪd frəm nuz./",/images/eijukugo_zukan/U15/Q03.png,/audio/eijukugo_zukan/U15/S03.mp3,aside,aside,"I seldom watch TV, [BLANK] from news."
U15,4,Will you move that box aside?,その箱を脇へどけてくれますか。,/wɪl ju muv ðət bɑks əˈsaɪd?/,/images/eijukugo_zukan/U15/Q04.png,/audio/eijukugo_zukan/U15/S04.mp3,aside,aside,Will you move that box [BLANK]?
U15,5,I saw children running by.,子どもたちが走って通り過ぎるのが見えた。,/aɪ sɔ ˈʧɪldrən ˈrənɪŋ baɪ./,/images/eijukugo_zukan/U15/Q05.png,/audio/eijukugo_zukan/U15/S05.mp3,by,by,I saw children running [BLANK].
U15,6,He stepped aside for me to pass.,私が通れるように彼はわきに寄った。,/hi stɛpt əˈsaɪd fər mi tɪ pæs./,/images/eijukugo_zukan/U15/Q06.png,/audio/eijukugo_zukan/U15/S06.mp3,aside,aside,He stepped [BLANK] for me to pass.
U15,7,Come by on your way home.,家に帰る途中に立ち寄ってください。,/kəm baɪ ɔn jʊr weɪ hoʊm./,/images/eijukugo_zukan/U15/Q07.png,/audio/eijukugo_zukan/U15/S07.mp3,by,by,Come [BLANK] on your way home.
U15,8,He laid aside his glasses.,彼はメガネをわきに置いた。,/hi leɪd əˈsaɪd hɪz ˈglæsɪz./,/images/eijukugo_zukan/U15/Q08.png,/audio/eijukugo_zukan/U15/S08.mp3,aside,aside,He laid [BLANK] his glasses.
U15,9,Can I stop by at that convenience store?,あのコンビニにちょっと寄ってもいい？,/kən aɪ stɑp baɪ æt ðət kənˈvinjəns stɔr?/,/images/eijukugo_zukan/U15/Q09.png,/audio/eijukugo_zukan/U15/S09.mp3,by,by,Can I stop [BLANK] at that convenience store?
U15,10,You should lay aside this money for the future.,将来のためにこのお金を取っておいたほうがいいでしょう。,/ju ʃʊd leɪ əˈsaɪd ðɪs ˈməni fər ðə fˈjuʧər./,/images/eijukugo_zukan/U15/Q10.png,/audio/eijukugo_zukan/U15/S10.mp3,aside,aside,You should lay [BLANK] this money for the future.
U15,11,I'll set this money aside for the future.,将来のためにこのお金を取っておきます。,/aɪl sɛt ðɪs ˈməni əˈsaɪd fər ðə fˈjuʧər./,/images/eijukugo_zukan/U15/Q11.png,/audio/eijukugo_zukan/U15/S11.mp3,aside,aside,I'll set this money [BLANK] for the future.
U15,12,He elbowed people aside.,彼は人々を肘で押しのけた。,/hi ˈɛlˌboʊd ˈpipəl əˈsaɪd./,/images/eijukugo_zukan/U15/Q12.png,/audio/eijukugo_zukan/U15/S12.mp3,aside,aside,He elbowed people [BLANK].
